geneName	family
EOY02053	31
EOY21723	31
EOX90897	33
EOX92380	33
EOY11682	43
EOY16114	43
EOX95331	43
EOX93017	43
EOY16115	43
EOY00243	43
EOY18059	43
EOY07271	43
EOX95939	43
EOY03274	43
EOY17661	48
EOY07576	48
EOX92575	48
EOX98370	48
EOY24908	48
EOX96582	48
EOY34628	48
EOY24907	48
EOY27742	48
EOY12500	48
EOY07579	48
EOY34615	48
EOY02852	48
EOX96581	48
EOY17660	48
EOY09340	48
EOY17651	48
EOX98371	48
EOX96659	48
EOX96651	48
EOY33898	48
EOY31602	48
EOY14671	62
EOY34409	62
EOY29503	62
EOX91209	62
EOY26939	62
EOY10332	62
EOY32935	62
EOY05867	62
EOY22274	62
EOX91211	62
EOY20853	62
EOX91210	62
EOX93288	62
EOY02759	62
EOY28787	62
EOY10334	62
EOY00579	62
EOY13186	73
EOY33902	73
EOY25418	73
EOY16897	83
EOY14403	83
EOX98309	83
EOY08042	83
EOX91498	83
EOY25721	89
EOY08410	89
EOY33942	89
EOY18087	89
EOY33937	89
EOY07442	89
EOY33948	89
EOY33936	89
EOX99079	89
EOY08388	89
EOY08407	89
EOX96891	89
EOY07038	89
EOY07037	89
EOY08405	89
EOY02933	89
EOY21709	89
EOY33946	89
EOY00830	89
EOY08382	89
EOY28853	89
EOX94922	89
EOY17621	89
EOY34640	89
EOY01226	89
EOY33351	89
EOY33939	89
EOY08383	89
EOY33933	89
EOX95389	89
EOY08788	89
EOY11206	89
EOY14144	89
EOX99074	89
EOY28852	89
EOY02843	89
EOY33941	89
EOY33943	89
EOX91760	89
EOX92221	89
EOY09957	102
EOY08037	102
EOY11029	103
EOY25050	103
EOX93147	103
EOY23535	103
EOY23536	103
EOY31629	104
EOY32062	104
EOY33704	104
EOY08440	104
EOY19283	104
EOY17765	104
EOY24062	110
EOX99593	110
EOY21701	110
EOY20030	110
EOY14601	110
EOY29723	110
EOY17330	110
EOY01227	110
EOY26840	110
EOY18512	110
EOY16932	110
EOY32990	110
EOY24390	110
EOY07379	110
EOY33137	110
EOY33803	110
EOX94357	110
EOY17982	110
EOY03258	110
EOY19814	110
EOY31044	110
EOY07288	110
EOY25747	110
EOY21698	110
EOY05012	110
EOY03356	110
EOY17335	110
EOY07286	110
EOY33804	110
EOY00214	110
EOY21705	110
EOY33138	110
EOY14891	110
EOY34275	110
EOY11788	110
EOY16925	110
EOY06133	110
EOY17334	110
EOY31046	110
EOY27884	110
EOX93315	110
EOY34276	110
EOY14600	110
EOY02083	110
EOY29505	110
EOY17524	110
EOY02086	110
EOX96253	110
EOY17337	110
EOY00213	110
EOY02072	110
EOY32453	110
EOY21715	110
EOY17331	110
EOX93786	110
EOY19813	110
EOY07390	110
EOY26829	110
EOY07268	110
EOY16806	110
EOY06146	140
EOY06143	140
EOY06166	140
EOY22797	142
EOY11063	142
EOY10417	142
EOY10419	142
EOY10414	142
EOY22796	142
EOY10420	142
EOY11062	142
EOY10418	142
EOY10416	142
EOY26264	142
EOY12194	142
EOY26265	142
EOY21437	147
EOY20167	147
EOY02992	147
EOX94997	147
EOX94995	147
EOY24887	147
EOY13875	147
EOX94996	147
EOY27460	147
EOY00396	147
EOY00398	147
EOY02343	147
EOX98797	147
EOX99564	147
EOY34527	147
EOX94805	147
EOX96887	147
EOY01236	147
EOY16195	153
EOY16201	153
EOY16197	153
EOY16202	153
EOY29818	154
EOX91973	154
EOY22780	154
EOY29039	154
EOY26965	154
EOY30586	154
EOX99856	158
EOX95033	158
EOY11498	158
EOY02238	160
EOY17513	160
EOY25454	160
EOY17514	160
EOY14356	160
EOY02236	160
EOY06956	160
EOY20267	160
EOY02239	160
EOX96782	160
EOY19200	160
EOY06959	160
EOY02242	160
EOY23251	167
EOY23256	167
EOY23264	167
EOY23255	167
EOY23260	167
EOX98840	168
EOX91332	168
EOX95393	168
EOY04515	168
EOX98836	168
EOX98832	168
EOY15105	168
EOY01176	168
EOY07788	168
EOY06770	168
EOY33401	168
EOY09519	168
EOX91638	168
EOY01510	168
EOY06362	168
EOY32415	168
EOX92033	168
EOY20612	168
EOY01431	168
EOY01433	168
EOY06361	168
EOY32413	168
EOY04464	168
EOY01180	168
EOY04783	168
EOY04514	168
EOY28103	168
EOY01181	168
EOY32408	168
EOX90971	168
EOY16600	168
EOY26783	168
EOX94910	168
EOX98187	168
EOY14858	168
EOX92787	168
EOY24071	168
EOY23720	168
EOY06505	168
EOX98831	168
EOY31924	168
EOY20022	168
EOY32414	168
EOY06743	168
EOY16805	168
EOX96817	168
EOX98835	168
EOY11738	168
EOY29213	168
EOY13946	168
EOY01183	168
EOX90768	168
EOY20023	168
EOY02826	168
EOY02292	168
EOX92881	168
EOY04508	168
EOY29286	168
EOY28693	168
EOY20039	168
EOY04513	168
EOY00330	168
EOY23047	168
EOY31067	168
EOY10443	168
EOX98833	168
EOY20025	168
EOX97693	168
EOY29479	168
EOX90803	168
EOY07732	168
EOX99066	168
EOY34272	168
EOY30388	176
EOY09059	176
EOY33385	176
EOY06458	190
EOY19523	190
EOY06468	190
EOY06465	190
EOX94978	190
EOY06463	190
EOY06462	190
EOY19525	190
EOX92246	190
EOY16032	190
EOY06450	190
EOY06456	190
EOX92247	190
EOY01855	193
EOY01853	193
EOY01854	193
EOY01857	193
EOY03526	193
EOY14856	195
EOY27416	195
EOX94035	195
EOY19209	195
EOY19212	195
EOY30950	195
EOX92558	195
EOY27415	195
EOY11509	195
EOY02706	198
EOY07925	198
EOY31810	198
EOY27424	198
EOY18863	198
EOY25276	198
EOY00847	198
EOY24699	198
EOY23202	198
EOY34468	198
EOX99815	198
EOY23203	198
EOY15198	198
EOY15196	198
EOY10077	198
EOY26824	198
EOY30839	200
EOY01829	200
EOY03542	200
EOX90754	205
EOY01474	205
EOY12336	205
EOY12332	205
EOY18601	207
EOY23978	207
EOY33112	207
EOY23977	207
EOY31574	207
EOY24675	207
EOX96332	207
EOY22239	207
EOY30484	207
EOY22240	207
EOX96446	207
EOY31572	207
EOY01246	208
EOY00640	208
EOY01410	208
EOY07419	208
EOY07420	208
EOY01248	208
EOX97846	208
EOY22864	208
EOY00318	208
EOY00319	208
EOY07055	208
EOY01247	208
EOY04190	210
EOY18380	210
EOY28342	210
EOY00150	210
EOY28341	210
EOY18383	210
EOX95087	210
EOY18637	210
EOY29778	210
EOY07774	218
EOY11600	218
EOY06789	218
EOY06648	218
EOX95205	218
EOY11686	218
EOY34087	224
EOY05228	224
EOX90840	224
EOY21295	224
EOY24661	224
EOY16212	224
EOY24663	224
EOY07993	224
EOY03269	224
EOY15052	224
EOY08005	224
EOY24665	224
EOX97717	224
EOY07996	224
EOY07992	224
EOY20403	224
EOY07468	224
EOY24666	224
EOX97351	224
EOY14679	224
EOX90836	224
EOY18074	224
EOY31734	224
EOY15049	224
EOY03123	225
EOX95006	225
EOX93107	225
EOX93109	225
EOX95007	225
EOX95005	225
EOX95009	225
EOY06487	225
EOX93140	231
EOY27727	231
EOY29674	245
EOX91124	245
EOY28541	245
EOY08069	245
EOY26796	245
EOY29077	261
EOX91649	261
EOY20466	265
EOY04278	265
EOX96361	265
EOY19225	265
EOY04282	265
EOX96939	265
EOY19223	265
EOY20464	265
EOY00323	265
EOY18944	265
EOY32555	265
EOY24317	265
EOY04222	275
EOX98214	275
EOY19601	275
EOX96153	275
EOY14523	275
EOX92768	275
EOY19596	275
EOY11259	275
EOX94890	275
EOY29493	275
EOX92766	275
EOY05611	275
EOY16970	275
EOX98212	275
EOY16972	275
EOY11535	275
EOY13805	275
EOY16967	275
EOY02106	275
EOY19600	275
EOX96154	275
EOY33249	275
EOY14525	275
EOY19599	275
EOY09665	275
EOX98211	275
EOX98210	275
EOY00793	275
EOY05610	275
EOX98213	275
EOY02656	275
EOY05585	281
EOY06977	281
EOX97977	281
EOY14815	281
EOX95500	281
EOX93609	281
EOY21154	286
EOY00422	286
EOY02332	286
EOY06010	286
EOX97418	286
EOX94485	286
EOX97420	286
EOY18240	286
EOY16252	286
EOY16255	286
EOX93233	286
EOY19592	286
EOX94486	286
EOY23786	286
EOY23796	286
EOY11717	286
EOX92385	286
EOY00421	286
EOY24329	286
EOY18238	286
EOX97422	286
EOY18241	286
EOY16250	286
EOY23738	286
EOY20648	286
EOY02321	286
EOX92376	286
EOY19593	286
EOY18239	286
EOY07606	286
EOY02326	286
EOY14892	286
EOY02329	286
EOY00428	286
EOY00432	286
EOY31575	286
EOX92386	286
EOY02325	286
EOY16715	286
EOY31578	286
EOY16718	286
EOX92378	286
EOX90946	286
EOX95525	286
EOY23788	286
EOY25348	286
EOY18897	296
EOY09175	296
EOY18915	296
EOY15170	297
EOY15169	297
EOY00699	301
EOY14290	301
EOY22288	301
EOY02573	301
EOX92608	301
EOY18683	305
EOY07856	305
EOY34406	305
EOY05768	306
EOY26712	306
EOY16082	306
EOX94680	306
EOX98850	306
EOY00982	306
EOY16086	306
EOY18358	306
EOX92174	306
EOY30843	306
EOX91056	308
EOX92183	308
EOY34303	308
EOY17659	308
EOY07475	308
EOY07485	308
EOY34203	308
EOY33802	308
EOY17434	308
EOY17433	308
EOY34226	308
EOX95666	308
EOX91152	308
EOY34618	308
EOY33983	308
EOY34302	308
EOY20472	308
EOY13993	308
EOY17904	308
EOX93498	308
EOY08006	308
EOY21262	308
EOY07283	308
EOY24422	308
EOY17439	308
EOX92187	308
EOY07476	308
EOY02215	308
EOX93746	308
EOY32277	308
EOX97536	308
EOY28732	308
EOY15039	308
EOY15180	308
EOY32280	308
EOX91308	308
EOX92185	308
EOY18852	308
EOY22907	308
EOX91310	308
EOY07477	308
EOY18853	308
EOX98857	308
EOY14194	310
EOY14195	310
EOY11491	310
EOY23895	318
EOY09021	318
EOX92160	320
EOY19485	320
EOY07612	320
EOX94692	320
EOY03296	320
EOY01287	320
EOY05744	320
EOY24072	320
EOY16869	320
EOX97134	332
EOX97115	332
EOX97111	332
EOX97110	332
EOX97106	332
EOX97133	332
EOX97113	332
EOX97117	332
EOX95433	334
EOX92702	334
EOY27919	334
EOY02659	335
EOY00804	335
EOY31366	335
EOY17486	335
EOX93303	335
EOY00807	335
EOY07957	335
EOY30899	335
EOY09704	335
EOY33847	337
EOY33844	337
EOY33848	337
EOY34393	341
EOX93707	341
EOY00654	341
EOX96975	341
EOY02548	341
EOY09900	341
EOY03415	346
EOY09048	346
EOY23869	346
EOY08261	346
EOY11873	354
EOX98521	354
EOX92663	354
EOY16393	354
EOY15600	354
EOY02121	354
EOX97530	354
EOY15194	354
EOY02685	354
EOY22408	354
EOY00827	354
EOY02683	354
EOY15193	354
EOX97529	354
EOY14611	354
EOX97696	354
EOY11868	354
EOY24970	354
EOY18997	354
EOY33583	354
EOX94558	354
EOY17931	354
EOY19003	354
EOY24969	354
EOX92728	356
EOY23072	356
EOX92912	356
EOX92678	356
EOY23414	360
EOY03379	360
EOY28759	360
EOY02050	360
EOY23413	360
EOY21730	360
EOX94001	360
EOY12026	360
EOY18834	360
EOY22316	360
EOY00749	360
EOY02611	360
EOY05389	360
EOY18386	360
EOY07962	360
EOY34432	377
EOY18707	377
EOY07873	377
EOY33734	384
EOX98883	384
EOX98887	384
EOY07221	384
EOX98881	384
EOX98882	384
EOY22371	384
EOX98884	384
EOX90671	384
EOY09590	385
EOY23126	385
EOX97082	385
EOY30094	385
EOY13755	385
EOY18717	385
EOY16693	385
EOY15977	385
EOX93908	385
EOY13878	385
EOX99919	385
EOY10305	385
EOY32196	385
EOY13768	385
EOX95467	386
EOY11776	386
EOX95468	386
EOY29518	386
EOY04499	389
EOX93521	389
EOY00553	389
EOX95369	389
EOY23141	389
EOY33394	389
EOY08140	389
EOY09662	389
EOY10540	389
EOY27025	389
EOY13851	389
EOY00669	389
EOY14361	389
EOY00539	389
EOY21969	389
EOY24537	393
EOX91782	393
EOY30525	393
EOY15638	393
EOX95867	393
EOY24850	393
EOY22983	393
EOX92929	395
EOY24030	395
EOY27601	407
EOY27604	407
EOY33650	407
EOX94786	417
EOY15362	417
EOX96514	417
EOY12925	417
EOX98710	417
EOX95289	417
EOY12934	417
EOY00568	417
EOY09638	417
EOX98709	417
EOY18684	420
EOY07863	420
EOY08456	432
EOY27297	432
EOY22471	432
EOY18385	432
EOY34165	432
EOY03673	432
EOY34624	432
EOY19279	432
EOY22076	432
EOX99707	432
EOY02868	432
EOY07635	432
EOY29033	436
EOY25058	436
EOY11932	436
EOY29886	436
EOY25057	436
EOY24156	436
EOY23549	436
EOY06507	444
EOX95025	444
EOY28214	444
EOY11497	444
EOX99451	444
EOY05141	444
EOY23345	447
EOY27863	447
EOX92648	447
EOX96104	451
EOY24497	451
EOX96214	451
EOX96213	451
EOX96420	451
EOY33928	451
EOY24243	454
EOX93527	454
EOY28993	454
EOY12022	454
EOY30587	454
EOY30852	456
EOY26687	456
EOY10410	456
EOY31345	456
EOY12345	459
EOX98914	459
EOY32686	459
EOY08818	459
EOX91348	459
EOY15124	459
EOX92805	459
EOY07184	459
EOY19470	459
EOY21690	459
EOY09297	459
EOY04981	459
EOY17213	459
EOY19314	459
EOY32872	459
EOY23676	459
EOX98201	459
EOY15122	459
EOY28688	459
EOY24888	459
EOY08541	459
EOX90851	459
EOX95616	459
EOY02448	461
EOY12187	461
EOX96587	461
EOY12185	461
EOY12175	461
EOY12174	461
EOY28880	461
EOY12186	461
EOX96586	461
EOY12188	461
EOY28879	461
EOY02444	461
EOY22570	465
EOY16103	465
EOY03606	465
EOX94961	465
EOY22573	465
EOY11878	466
EOY33726	466
EOY07217	466
EOX93619	466
EOY25665	468
EOY25673	468
EOY25678	468
EOY25686	468
EOX94274	468
EOY25672	468
EOY04510	468
EOY25676	468
EOY25659	468
EOY25680	468
EOY05095	468
EOY25674	468
EOY01556	468
EOY25695	468
EOY23142	468
EOY23148	468
EOY23149	468
EOY25687	468
EOY25671	468
EOY23139	468
EOY25660	468
EOY25661	468
EOY25658	468
EOY25666	468
EOY23144	468
EOY05098	468
EOY25692	468
EOY19471	468
EOY23147	468
EOY23145	468
EOY25677	468
EOY25667	468
EOY25683	468
EOY25689	468
EOY23138	468
EOY25587	470
EOX97678	470
EOY30205	470
EOX92684	470
EOY30463	470
EOY14876	470
EOY33042	470
EOY16361	470
EOY30207	470
EOX97914	470
EOY05200	470
EOY16363	470
EOX90951	470
EOY17394	470
EOY28380	470
EOX92682	470
EOY27097	470
EOY14382	473
EOY14381	473
EOY05763	473
EOX98320	473
EOX98318	473
EOY30596	473
EOX99457	473
EOY13389	473
EOY13388	473
EOY09437	473
EOY09436	473
EOX90926	473
EOX94880	473
EOX98342	473
EOY13467	473
EOY27896	473
EOY13372	473
EOY13923	473
EOY13305	473
EOX98622	473
EOY13407	473
EOY11888	473
EOY19948	473
EOY12107	473
EOY27418	473
EOY28795	473
EOY28353	473
EOX99352	473
EOX96723	473
EOY19712	473
EOY00885	473
EOY13449	473
EOY32575	473
EOY19909	473
EOY19506	473
EOY11886	473
EOX98351	473
EOY00096	473
EOY04366	473
EOY34564	473
EOY17704	473
EOY08627	473
EOY25425	473
EOY21706	473
EOX94002	473
EOY21411	473
EOY01505	473
EOY00273	473
EOX92743	473
EOY00540	473
EOY24927	473
EOY32184	473
EOY27298	473
EOY04105	473
EOY19709	473
EOY29908	473
EOY09420	473
EOY30921	473
EOY17445	473
EOY00062	473
EOX98830	473
EOY29078	473
EOY08083	473
EOX91512	473
EOY26251	473
EOY20202	473
EOY34719	473
EOY22301	473
EOY30218	473
EOY23435	473
EOY02337	473
EOY12149	473
EOY04414	473
EOY31531	473
EOY14384	473
EOX98856	473
EOX92079	473
EOY03291	473
EOY00878	473
EOY03045	473
EOY01404	473
EOY20659	473
EOX91549	473
EOX93688	473
EOX96229	473
EOY27962	473
EOY07257	473
EOY18914	473
EOY16017	473
EOY17008	473
EOY11887	473
EOY11885	473
EOY13433	473
EOY13446	473
EOY12109	473
EOY11884	473
EOY27454	473
EOY27456	473
EOY27897	473
EOY27898	473
EOX92938	473
EOY27892	473
EOY13460	473
EOY13912	473
EOY05414	473
EOY17836	473
EOY12115	473
EOY13456	473
EOY09907	473
EOY13302	473
EOY12112	473
EOY20418	473
EOY12108	473
EOY20414	473
EOY04297	473
EOY12106	473
EOY13457	473
EOY12947	473
EOY06184	473
EOY13309	473
EOY19925	473
EOY13272	473
EOY04294	473
EOY31248	473
EOY31266	473
EOY10966	473
EOY23196	473
EOY13366	473
EOY27517	473
EOY12096	473
EOX96823	473
EOY32136	473
EOY20416	473
EOY10968	473
EOY06185	473
EOY07134	473
EOY12940	473
EOY10135	473
EOY06187	473
EOY12105	473
EOY19598	473
EOY23197	473
EOY00889	473
EOY13304	473
EOY13369	473
EOX98729	473
EOY12120	473
EOY19440	473
EOY17182	473
EOX98727	473
EOY12113	473
EOY04295	473
EOY02771	473
EOY13853	473
EOY22771	473
EOY12118	473
EOY20423	473
EOY00886	473
EOY00246	473
EOY19597	473
EOY19910	473
EOY19726	473
EOY01332	473
EOY13698	473
EOY02770	473
EOY12121	473
EOY19731	473
EOY20412	473
EOY22770	473
EOY19927	473
EOY13451	473
EOY12117	473
EOY13382	473
EOY11221	473
EOY12116	473
EOY13411	473
EOY19173	473
EOY19719	473
EOY16016	473
EOY26168	473
EOY13385	473
EOY05416	473
EOY09120	473
EOY19673	473
EOY11926	473
EOY07253	473
EOY13269	473
EOY13412	473
EOY21954	473
EOX91818	473
EOY25547	473
EOX97052	473
EOX94009	473
EOX99532	473
EOY17393	473
EOY26117	473
EOY17844	473
EOY34298	473
EOY13276	473
EOX92323	473
EOY05394	473
EOY25709	473
EOY33746	473
EOY13065	473
EOX96795	473
EOY13286	473
EOY23682	473
EOY27966	473
EOY23132	473
EOY19675	473
EOY09274	473
EOY17848	473
EOY30050	473
EOY15591	473
EOY22849	473
EOY13268	473
EOY14135	473
EOY27760	473
EOY17842	473
EOY13289	473
EOX96816	473
EOY13291	473
EOY17845	473
EOY16876	473
EOY22866	473
EOY27942	473
EOY17837	473
EOY29540	473
EOY10795	473
EOY05415	473
EOY17843	473
EOX91810	473
EOY17004	473
EOY11825	473
EOX97281	473
EOY13292	473
EOY04451	473
EOY22989	473
EOY30645	473
EOY30646	473
EOY20098	473
EOY20874	473
EOX95497	473
EOY17846	473
EOY29800	473
EOY29543	473
EOY16651	473
EOY15800	473
EOX90898	473
EOY01249	473
EOX96398	473
EOY03684	473
EOY13415	473
EOY05413	473
EOY01684	473
EOY13285	473
EOY29774	473
EOY19678	473
EOY05017	473
EOY20801	473
EOY17181	473
EOY13410	473
EOY14924	473
EOY11018	473
EOX94352	473
EOY25588	473
EOY19677	473
EOY10839	473
EOY15589	473
EOY19428	473
EOY28155	473
EOX92902	473
EOY13413	473
EOY02969	473
EOY24533	473
EOY13266	473
EOY17015	473
EOY04306	473
EOY13278	473
EOY02818	473
EOY23386	473
EOX96394	473
EOY25681	473
EOY25684	473
EOY31495	473
EOY12126	473
EOX90925	473
EOY13300	473
EOY09870	473
EOY01409	473
EOY05412	473
EOY11889	473
EOY15070	473
EOY06229	473
EOY13267	473
EOY13365	473
EOY09393	473
EOY07254	473
EOY29631	473
EOY12943	473
EOY06189	473
EOY26120	473
EOY10965	473
EOY13283	473
EOY17850	473
EOY04292	473
EOY07448	473
EOY05410	473
EOY12098	473
EOY12942	473
EOY17847	473
EOY29563	473
EOX99105	473
EOY07133	473
EOY10969	473
EOX92252	473
EOY27458	473
EOY16990	473
EOX98621	473
EOY31485	473
EOY16988	473
EOY27888	473
EOY26116	473
EOY17658	473
EOY03433	473
EOY13459	473
EOY12941	473
EOX93504	473
EOY13848	473
EOY18912	473
EOY12094	473
EOY05180	473
EOY13850	473
EOY20354	473
EOY17379	473
EOY16560	473
EOY08494	473
EOY22948	473
EOY13367	473
EOY07067	473
EOY08472	473
EOY19735	473
EOY16997	473
EOX99030	473
EOY10065	473
EOY19906	473
EOY13463	473
EOY23392	473
EOX99104	473
EOY19952	473
EOY26121	473
EOY21991	473
EOY01757	473
EOY14136	473
EOY13384	473
EOY16994	473
EOX92906	473
EOX99691	473
EOY17000	473
EOY13405	473
EOY07255	473
EOY14133	473
EOY17001	473
EOY16989	473
EOY04844	473
EOY22752	473
EOY16531	473
EOY26320	473
EOY13473	473
EOY20489	473
EOY14909	473
EOY20307	473
EOY14131	473
EOY34305	473
EOY13373	473
EOY13293	473
EOY24691	473
EOY20413	473
EOY05411	473
EOY17002	473
EOY03091	473
EOY01502	473
EOY33312	473
EOY01322	473
EOY05116	473
EOX93227	473
EOX94350	473
EOY17013	473
EOY26122	473
EOY29538	473
EOX96393	473
EOY27670	473
EOY22262	473
EOX94382	473
EOY02177	473
EOX92960	473
EOY25842	473
EOY29415	473
EOY27972	473
EOY24479	473
EOY13474	473
EOY27890	473
EOY13434	473
EOY26227	473
EOY27980	473
EOY25929	473
EOY26318	473
EOY13390	473
EOY13435	473
EOY13454	473
EOY12097	473
EOY12095	473
EOY13297	473
EOY13422	473
EOY04308	473
EOY20415	473
EOY25931	473
EOY00884	473
EOY13461	473
EOY12099	473
EOY09454	473
EOY12110	473
EOY29463	473
EOY19208	473
EOY25930	473
EOY16124	477
EOY08224	477
EOY33458	477
EOY19478	477
EOY34325	477
EOX98009	478
EOX91082	478
EOX98775	478
EOY27252	478
EOX98012	478
EOX92073	478
EOY30068	478
EOX98768	478
EOY15987	478
EOY12974	483
EOY21823	483
EOY12972	483
EOY12978	483
EOY12927	483
EOY12971	483
EOY19403	483
EOY12958	483
EOY12979	483
EOY12970	483
EOY12930	483
EOY12928	483
EOY12931	483
EOY12965	483
EOY12959	483
EOY12967	483
EOY12980	483
EOY12961	483
EOY12966	483
EOY31491	483
EOY31490	483
EOY12977	483
EOY12929	483
EOY19402	483
EOY12932	483
EOY19707	484
EOY31592	484
EOY19061	484
EOY09501	484
EOY28912	488
EOY23627	488
EOY07234	488
EOY23625	488
EOY17827	488
EOX95646	488
EOY13082	488
EOY13696	494
EOY23692	494
EOY23858	494
EOY30604	498
EOY26956	498
EOY29816	498
EOY30605	498
EOY29879	500
EOY27092	500
EOY27069	500
EOY30510	500
EOY27070	500
EOY27093	500
EOY10805	502
EOX94846	502
EOX98817	502
EOX98821	502
EOY16929	502
EOY27870	502
EOY15093	502
EOY28111	502
EOY33610	502
EOX98816	502
EOX99898	502
EOX92790	502
EOX97537	502
EOY27526	502
EOY04805	502
EOY31939	502
EOY34625	502
EOY10803	502
EOY12306	502
EOY28112	502
EOX93364	502
EOY27366	502
EOY22367	502
EOY17020	502
EOY03903	502
EOX98818	502
EOX93127	502
EOY28057	502
EOX90720	502
EOY23881	502
EOY28056	502
EOX91281	502
EOY06744	502
EOY03835	502
EOX90787	502
EOY17462	502
EOY10807	502
EOY30155	502
EOY21876	502
EOX93366	502
EOY06746	502
EOY25056	502
EOY27527	502
EOY26975	502
EOY04623	502
EOY17022	502
EOY27871	502
EOY04803	502
EOX98820	502
EOX93124	502
EOY03834	502
EOY12397	502
EOY10632	502
EOY15947	502
EOX95800	502
EOY13345	502
EOY13346	502
EOY02553	502
EOY11428	502
EOX95377	502
EOY00662	502
EOY02389	502
EOY12232	502
EOY31941	502
EOY11719	502
EOY02556	502
EOY10021	502
EOY03832	502
EOY27364	502
EOY27365	502
EOY34626	502
EOY16295	502
EOX95376	502
EOY08185	502
EOY15094	502
EOY02555	502
EOY00661	502
EOY14189	502
EOY31938	502
EOY00660	502
EOY08053	502
EOY33148	502
EOY31158	503
EOY02480	503
EOY22293	503
EOY20863	503
EOY11891	503
EOY20865	503
